Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
AOA,100,21,63,0.917244,0.002806,0.032927,0.398343,3.057238
GWO,100,21,63,0.995727,0.002793,0.034521,0.395619,2.652706
FCFS,100,22,64,13.96,0.002782,0.033006,0.46994,2.293377
RoundRobin,100,22,64,13.96,0.002782,0.033006,0.46994,2.293377
Random,100,22,64,24.144,0.002901,0.034487,0.144547,3.7143
MinMin,100,22,64,6.454,0.0032,0.021937,0.684787,0.898112
MaxMin,100,22,64,4.698,0.003027,0.026398,0.909599,0.310253
LSCBO,100,22,64,0.790117,0.002796,0.030403,0.472873,2.082685
CBO,100,22,64,0.981092,0.002892,0.031198,0.302818,2.786578
PSO,100,22,64,0.847756,0.002896,0.031098,0.437502,2.091309
AOA,100,22,64,1.041577,0.00265,0.032965,0.346959,2.762568
GWO,100,22,64,0.866813,0.002718,0.030671,0.492131,1.960218
FCFS,100,23,65,17.44,0.002944,0.043148,0.320221,2.314483
RoundRobin,100,23,65,17.44,0.002944,0.043148,0.320221,2.314483
Random,100,23,65,23.596,0.002888,0.041332,0.220822,3.096419
MinMin,100,23,65,7.556,0.002856,0.024709,0.730074,0.874003
MaxMin,100,23,65,5.492,0.002893,0.031558,0.941815,0.249113
LSCBO,100,23,65,1.065339,0.002767,0.036786,0.417672,2.423843
CBO,100,23,65,1.135071,0.002954,0.036927,0.395859,2.74702
PSO,100,23,65,1.057644,0.002699,0.039241,0.420995,2.430659
AOA,100,23,65,1.180255,0.002848,0.037992,0.361868,3.093612
GWO,100,23,65,1.233812,0.00282,0.03899,0.275334,3.125885
FCFS,100,24,66,17.716,0.003153,0.04381,0.367508,2.286157
RoundRobin,100,24,66,17.716,0.003153,0.04381,0.367508,2.286157
Random,100,24,66,38.3,0.003258,0.043376,0.05098,4.639746
MinMin,100,24,66,7.908,0.00341,0.025771,0.693432,0.901483
MaxMin,100,24,66,5.563,0.003344,0.032559,0.947278,0.254842
LSCBO,100,24,66,0.926644,0.003154,0.036852,0.445099,2.518496
CBO,100,24,66,1.119345,0.003144,0.037226,0.387413,2.460341
PSO,100,24,66,1.101176,0.003219,0.03854,0.37776,2.409421
AOA,100,24,66,1.023849,0.003145,0.034555,0.454623,2.813027
GWO,100,24,66,0.975119,0.003083,0.036796,0.514709,2.014635
FCFS,100,25,67,15.4,0.002678,0.032847,0.50432,2.615381
RoundRobin,100,25,67,15.4,0.002678,0.032847,0.50432,2.615381
Random,100,25,67,35.976,0.002629,0.036888,-0.064428,5.345731
MinMin,100,25,67,6.652,0.003036,0.023804,0.675703,0.941544
MaxMin,100,25,67,4.76,0.002874,0.027772,0.929346,0.268054
LSCBO,100,25,67,0.787894,0.002782,0.029833,0.462013,2.446856
CBO,100,25,67,0.904139,0.00279,0.030347,0.422137,2.78874
PSO,100,25,67,0.878652,0.002829,0.030713,0.401897,2.552328
AOA,100,25,67,0.839971,0.002811,0.030733,0.410408,2.156851
GWO,100,25,67,0.881139,0.00279,0.029797,0.42786,2.538385
FCFS,100,26,68,16.596,0.002862,0.038422,0.382125,2.455282
RoundRobin,100,26,68,16.596,0.002862,0.038422,0.382125,2.455282
Random,100,26,68,21.144,0.002944,0.03944,0.254242,2.886461
MinMin,100,26,68,7.025333,0.003115,0.024409,0.682559,0.875486
MaxMin,100,26,68,5.048,0.003017,0.030082,0.93948,0.24873
LSCBO,100,26,68,1.08784,0.00289,0.034384,0.321921,3.036148
CBO,100,26,68,1.039437,0.002918,0.037715,0.404459,2.244276
PSO,100,26,68,1.068627,0.002842,0.037222,0.327917,2.78866
AOA,100,26,68,1.211763,0.002896,0.034324,0.248988,2.857106
GWO,100,26,68,1.012482,0.002781,0.035547,0.429915,2.048002
FCFS,100,27,69,16.396,0.002766,0.035975,0.327461,2.648954
RoundRobin,100,27,69,16.396,0.002766,0.035975,0.327461,2.648954
Random,100,27,69,19.208,0.002729,0.034834,0.270872,3.245475
MinMin,100,27,69,6.685333,0.003037,0.024133,0.715207,0.917106
MaxMin,100,27,69,4.782,0.002922,0.02808,0.925381,0.23225
LSCBO,100,27,69,0.755475,0.002754,0.030147,0.473184,2.544127
CBO,100,27,69,0.895428,0.002778,0.02896,0.417725,2.713178
