Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio
HHO,500,50,165.5545,1.1603
DBO,500,50,183.7239,0.8620
PSO,500,50,359.7127,1.3937
AOA,500,50,211.2137,1.1182
LSCBO-LS-final,500,51,48.8981,0.0561
LSCBO-LS-wrong,500,51,51.0868,0.0903
CBO,500,51,165.2546,1.1868
GTO,500,51,174.9764,0.7364
WOA,500,51,183.0901,0.7006
GWO,500,51,141.8484,0.6920
HHO,500,51,206.7643,0.7445
DBO,500,51,221.5169,0.8389
PSO,500,51,269.2925,0.8614
AOA,500,51,233.2912,0.8483
LSCBO-LS-final,500,52,57.8436,0.2216
LSCBO-LS-wrong,500,52,54.8325,0.1265
CBO,500,52,303.7392,1.5390
GTO,500,52,266.5617,1.1026
WOA,500,52,305.0521,1.2215
GWO,500,52,267.9751,1.0448
HHO,500,52,263.0385,0.9795
DBO,500,52,343.8741,1.0324
PSO,500,52,286.4064,1.1230
AOA,500,52,340.2358,1.3636
LSCBO-LS-final,500,53,55.8689,0.1682
LSCBO-LS-wrong,500,53,45.8923,0.0467
CBO,500,53,204.1908,0.8696
GTO,500,53,158.4503,0.6688
WOA,500,53,158.4503,0.6962
GWO,500,53,183.2997,0.7885
HHO,500,53,200.0050,0.9752
DBO,500,53,156.7640,0.6598
PSO,500,53,203.7764,0.7452
AOA,500,53,204.0739,0.7645
LSCBO-LS-final,500,54,47.6106,0.0568
LSCBO-LS-wrong,500,54,45.8480,0.0379
CBO,500,54,251.8024,0.8460
GTO,500,54,126.9037,0.6341
WOA,500,54,227.8455,0.8810
GWO,500,54,170.0573,0.7741
HHO,500,54,219.4976,0.9397
DBO,500,54,219.3692,0.8534
PSO,500,54,232.7295,1.0698
AOA,500,54,192.4186,1.0442
LSCBO-LS-final,500,55,56.5254,0.1637
LSCBO-LS-wrong,500,55,47.4367,0.0405
CBO,500,55,163.5614,0.8818
GTO,500,55,175.0263,0.7232
WOA,500,55,152.4297,0.7460
GWO,500,55,153.3935,0.7254
HHO,500,55,161.9122,0.7589
DBO,500,55,189.7611,0.7595
PSO,500,55,226.8381,0.8028
AOA,500,55,188.2917,0.7586
LSCBO-LS-final,500,56,42.9367,0.0368
LSCBO-LS-wrong,500,56,43.9647,0.0499
CBO,500,56,323.1469,1.1516
GTO,500,56,167.9156,1.0101
WOA,500,56,185.7464,1.2807
GWO,500,56,154.2529,0.7861
HHO,500,56,154.1831,0.9296
DBO,500,56,262.5039,0.9957
PSO,500,56,351.5536,1.4412
AOA,500,56,242.5796,1.2716
LSCBO-LS-final,500,57,43.8975,0.0417
LSCBO-LS-wrong,500,57,51.3814,0.1177
CBO,500,57,251.7282,1.0351
GTO,500,57,211.8721,0.8181
WOA,500,57,184.2795,0.7961
GWO,500,57,255.3587,0.9902
HHO,500,57,183.8203,0.9185
DBO,500,57,199.8849,0.8304
PSO,500,57,280.3085,0.8841
AOA,500,57,251.3486,0.9824
LSCBO-LS-final,500,58,41.5084,0.0390
LSCBO-LS-wrong,500,58,42.7918,0.0526
CBO,500,58,198.9010,0.8449
GTO,500,58,134.4839,0.7546
WOA,500,58,172.5513,0.8282
GWO,500,58,161.3457,0.8453
HHO,500,58,155.9760,0.7919
DBO,500,58,135.2178,0.6464
PSO,500,58,168.6957,0.8337
AOA,500,58,205.7515,1.1177
LSCBO-LS-final,500,59,43.3568,0.0844
LSCBO-LS-wrong,500,59,40.5767,0.0387
CBO,500,59,165.4344,0.9191
GTO,500,59,156.1797,0.7048
WOA,500,59,160.0194,0.8196
GWO,500,59,161.4078,0.8632
HHO,500,59,155.1553,0.7740
DBO,500,59,160.2618,0.7499
PSO,500,59,199.6543,0.7831
AOA,500,59,194.8495,0.8243
LSCBO-LS-final,500,60,43.4836,0.0801
LSCBO-LS-wrong,500,60,43.4836,0.0801
CBO,500,60,183.9000,0.7471
GTO,500,60,140.9547,1.0126
WOA,500,60,116.2968,0.9464
GWO,500,60,148.2308,0.6884
HHO,500,60,143.9861,1.1640
DBO,500,60,132.0941,0.6587
PSO,500,60,183.9000,0.7471
AOA,500,60,164.1841,0.9946
LSCBO-LS-final,500,61,58.1555,0.1184
LSCBO-LS-wrong,500,61,57.3867,0.0903
CBO,500,61,230.1374,1.0117
GTO,500,61,222.0394,0.7560
WOA,500,61,234.9713,0.8734
GWO,500,61,197.6995,0.7156
HHO,500,61,206.9228,0.8449
DBO,500,61,270.3233,0.9064
PSO,500,61,332.9330,0.9825
AOA,500,61,329.6816,0.9485
LSCBO-LS-final,500,62,35.7429,0.0153
LSCBO-LS-wrong,500,62,38.2483,0.0402
CBO,500,62,131.2071,0.7040
GTO,500,62,63.6887,0.3662
WOA,500,62,92.7658,0.7875
GWO,500,62,95.9719,0.6164
HHO,500,62,82.7881,0.5643
DBO,500,62,103.0339,0.5910
PSO,500,62,146.2580,0.7433
AOA,500,62,144.6630,0.9131
LSCBO-LS-final,500,63,55.7100,0.1003
LSCBO-LS-wrong,500,63,51.0847,0.0644
CBO,500,63,497.5805,1.3520
GTO,500,63,450.1773,1.2450
WOA,500,63,436.4844,1.1934
GWO,500,63,520.2906,1.2997
HHO,500,63,523.7439,1.3029
DBO,500,63,397.2821,1.1262
PSO,500,63,508.0354,1.2876
AOA,500,63,472.5937,1.3005
LSCBO-LS-final,500,64,59.1665,0.0783
LSCBO-LS-wrong,500,64,55.9097,0.0512
CBO,500,64,228.3599,0.7290
GTO,500,64,128.6787,0.5550
WOA,500,64,187.9945,0.6641
GWO,500,64,212.6582,0.7765
HHO,500,64,181.5956,0.7035
DBO,500,64,178.0083,0.6277
PSO,500,64,205.1740,0.6814
AOA,500,64,200.7972,0.7644
LSCBO-LS-final,500,65,51.9660,0.1102
LSCBO-LS-wrong,500,65,47.6389,0.0762
CBO,500,65,422.0123,1.1912
GTO,500,65,221.2827,0.9358
WOA,500,65,232.1020,1.1169
GWO,500,65,219.4819,0.9023
HHO,500,65,337.1380,1.3446
DBO,500,65,235.9855,0.9403
PSO,500,65,343.4361,1.5235
AOA,500,65,347.0164,1.5844
LSCBO-LS-final,500,66,42.4898,0.0443
LSCBO-LS-wrong,500,66,43.2297,0.0598
CBO,500,66,200.0038,1.3751
GTO,500,66,152.7858,0.7461
WOA,500,66,201.2417,0.9363
GWO,500,66,209.1543,0.9414
HHO,500,66,222.4305,0.9258
DBO,500,66,217.9169,0.8619
PSO,500,66,295.9787,1.2106
AOA,500,66,268.8664,1.1404
LSCBO-LS-final,500,67,52.1666,0.1543
LSCBO-LS-wrong,500,67,52.1666,0.1543
CBO,500,67,326.8449,1.1343
GTO,500,67,184.3348,0.9459
WOA,500,67,215.4248,0.8689
GWO,500,67,142.3160,0.6531
HHO,500,67,182.2537,1.1893
DBO,500,67,160.9346,0.7025
PSO,500,67,290.2550,1.2276
AOA,500,67,219.2803,1.0906
LSCBO-LS-final,500,68,40.6245,0.0325
LSCBO-LS-wrong,500,68,40.5920,0.0284
CBO,500,68,147.0819,0.8214
GTO,500,68,110.9394,0.5856
WOA,500,68,147.6276,0.7867
GWO,500,68,126.3959,0.6461
HHO,500,68,131.4330,0.7688
DBO,500,68,123.4163,0.6240
PSO,500,68,164.7022,0.7137
AOA,500,68,159.8953,0.7503
LSCBO-LS-final,500,69,44.5330,0.0683
LSCBO-LS-wrong,500,69,40.8710,0.0231
CBO,500,69,132.9555,0.6836
GTO,500,69,100.0845,0.5512
WOA,500,69,110.4909,0.5986
GWO,500,69,87.9520,0.5171
HHO,500,69,106.3901,0.6498
DBO,500,69,102.0439,0.4942
PSO,500,69,128.1050,0.6754
AOA,500,69,124.6540,0.6558
LSCBO-LS-final,500,70,67.9807,0.3615
LSCBO-LS-wrong,500,70,51.7044,0.1052
CBO,500,70,167.4966,1.3046
GTO,500,70,207.3352,0.7965
WOA,500,70,293.2733,1.0761
GWO,500,70,301.2749,1.0513
HHO,500,70,243.6021,0.9905
DBO,500,70,273.6886,0.8320
PSO,500,70,219.8369,0.8806
AOA,500,70,363.7482,1.5991
LSCBO-LS-final,500,71,48.3243,0.0719
LSCBO-LS-wrong,500,71,48.3552,0.0705
CBO,500,71,263.9830,1.0920
GTO,500,71,125.7835,0.6503
WOA,500,71,250.7690,1.0304
