Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
GWO,300,9,51,37.338000,0.008561,0.105356,0.536810,1.840119
LF-CBO,300,10,52,62.542000,0.008458,0.128261,0.188919,2.920047
CBO,300,10,52,203.036000,0.007372,0.097763,-1.003008,11.238674
PSO,300,10,52,40.700000,0.008416,0.107260,0.410478,2.027319
AOA,300,10,52,397.540667,0.006974,0.085229,-1.733590,13.836810
GWO,300,10,52,70.576000,0.008254,0.106564,0.231415,3.612006
LF-CBO,300,11,53,47.354000,0.008886,0.125432,0.381829,2.177695
CBO,300,11,53,376.300000,0.007076,0.097096,-1.896744,12.405000
PSO,300,11,53,56.230000,0.009103,0.121485,0.280910,2.623997
AOA,300,11,53,426.547333,0.007769,0.086774,-2.068147,16.905721
GWO,300,11,53,102.992667,0.009019,0.103140,0.044098,5.262489
LF-CBO,300,12,54,52.702000,0.007733,0.117287,0.319757,2.616952
CBO,300,12,54,81.290000,0.007609,0.093971,0.095825,3.017234
PSO,300,12,54,59.782000,0.007840,0.100187,0.248862,3.191858
AOA,300,12,54,59.026000,0.007963,0.113078,0.385313,2.969464
GWO,300,12,54,43.386000,0.008050,0.107932,0.433622,2.279715
LF-CBO,300,13,55,48.166000,0.008126,0.112929,0.363948,2.420015
CBO,300,13,55,69.314000,0.008260,0.102616,0.244974,3.875212
PSO,300,13,55,59.080000,0.008171,0.105403,0.325367,3.098685
AOA,300,13,55,352.859333,0.007380,0.086197,-1.810752,15.975007
GWO,300,13,55,56.912000,0.008414,0.101572,0.355051,3.137272
LF-CBO,300,14,56,42.842000,0.007534,0.116879,0.426337,2.133486
CBO,300,14,56,271.384667,0.007013,0.080493,-1.896497,13.524585
PSO,300,14,56,246.572667,0.007058,0.081043,-1.817835,13.208468
AOA,300,14,56,354.525333,0.007257,0.078276,-1.920992,15.557712
GWO,300,14,56,105.298000,0.007377,0.101468,0.090585,5.618287
LF-CBO,300,15,57,40.892000,0.008974,0.093618,0.361054,2.509869
CBO,300,15,57,200.755333,0.007912,0.079472,-1.519417,12.656858
PSO,300,15,57,45.526000,0.009365,0.085293,0.303846,2.830047
AOA,300,15,57,228.583333,0.007934,0.080253,-1.210415,11.422917
GWO,300,15,57,47.730667,0.009117,0.090624,0.345153,2.893563
LF-CBO,300,16,58,41.880000,0.008268,0.122873,0.444395,1.789793
CBO,300,16,58,75.820000,0.008033,0.099635,0.287271,2.609237
PSO,300,16,58,59.218000,0.007973,0.108134,0.299009,2.917131
AOA,300,16,58,393.064667,0.007225,0.087313,-1.525114,11.294053
GWO,300,16,58,116.067333,0.007964,0.106988,-0.152555,5.967978
LF-CBO,300,17,59,36.252000,0.008841,0.107963,0.475415,1.796198
CBO,300,17,59,276.982000,0.007618,0.080639,-2.073377,13.401272
PSO,300,17,59,58.022000,0.008962,0.099019,0.350618,3.148711
AOA,300,17,59,327.346000,0.007740,0.082093,-1.806660,15.941428
GWO,300,17,59,65.616667,0.008718,0.098689,0.228302,3.617855
LF-CBO,300,18,60,40.686000,0.008527,0.104938,0.476250,2.230098
CBO,300,18,60,249.998667,0.009483,0.072880,-2.005242,15.017184
PSO,300,18,60,49.930000,0.008412,0.101114,0.331867,2.797303
AOA,300,18,60,304.740667,0.009202,0.074763,-1.728114,15.484272
GWO,300,18,60,80.118000,0.008708,0.095333,0.126593,4.623472
LF-CBO,300,19,61,36.532000,0.007731,0.111593,0.494715,1.817517
CBO,300,19,61,268.154000,0.008975,0.067333,-1.818377,11.822546
PSO,300,19,61,73.290000,0.007824,0.114279,0.191165,3.853859
AOA,300,19,61,334.922000,0.008121,0.071955,-1.762359,13.883396
GWO,300,19,61,106.641333,0.007854,0.096958,0.018598,6.267481
LF-CBO,300,20,62,28.830000,0.008864,0.085561,0.499563,1.815978
CBO,300,20,62,47.484667,0.009232,0.081028,0.257344,3.201767
PSO,300,20,62,74.310000,0.008684,0.081400,0.176124,5.185256
AOA,300,20,62,221.954000,0.008493,0.072908,-1.391467,12.492647
GWO,300,20,62,72.534000,0.008868,0.076478,0.136285,5.364623
LF-CBO,300,21,63,38.466000,0.007936,0.109164,0.494652,1.934087
CBO,300,21,63,235.911333,0.008986,0.077298,-1.702953,14.603134
PSO,300,21,63,224.482000,0.009200,0.072851,-1.842217,14.055546
AOA,300,21,63,267.180667,0.008678,0.077749,-1.194063,11.805403
GWO,300,21,63,118.666667,0.008285,0.095659,0.007706,6.557411
LF-CBO,300,22,64,57.280000,0.009455,0.106054,0.238188,3.160420
CBO,300,22,64,71.440000,0.009532,0.090177,0.291220,2.590565
PSO,300,22,64,49.030000,0.008884,0.099261,0.387875,2.862861
AOA,300,22,64,47.978000,0.009033,0.099857,0.448861,2.669979
GWO,300,22,64,37.866000,0.008947,0.092134,0.488587,2.434739
LF-CBO,300,23,65,71.794000,0.008684,0.129223,0.158261,3.252207
CBO,300,23,65,55.306000,0.008477,0.116321,0.307625,2.669690
PSO,300,23,65,82.098000,0.008584,0.114607,0.230966,3.916155
