Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
LSCBO,300,19,61,33.592000,0.007806,0.102012,0.544938,1.804098
CBO,300,19,61,268.154000,0.008975,0.067333,-1.818377,11.822546
PSO,300,19,61,73.290000,0.007824,0.114279,0.191165,3.853859
LSCBO,300,20,62,38.166000,0.009102,0.082326,0.500809,2.512716
CBO,300,20,62,47.484667,0.009232,0.081028,0.257344,3.201767
PSO,300,20,62,74.310000,0.008684,0.081400,0.176124,5.185256
LSCBO,300,21,63,78.240000,0.007503,0.106925,0.173015,3.736430
CBO,300,21,63,235.911333,0.008986,0.077298,-1.702953,14.603134
PSO,300,21,63,224.482000,0.009200,0.072851,-1.842217,14.055546
LSCBO,300,22,64,38.956000,0.008908,0.096201,0.419935,2.316294
CBO,300,22,64,71.440000,0.009532,0.090177,0.291220,2.590565
PSO,300,22,64,49.030000,0.008884,0.099261,0.387875,2.862861
LSCBO,300,23,65,53.778000,0.008862,0.107515,0.485135,2.806340
CBO,300,23,65,55.306000,0.008477,0.116321,0.307625,2.669690
PSO,300,23,65,82.098000,0.008584,0.114607,0.230966,3.916155
LSCBO,300,24,66,61.054000,0.008822,0.115540,0.247675,3.008306
CBO,300,24,66,235.856667,0.009569,0.081556,-1.488999,12.956632
PSO,300,24,66,236.535333,0.010218,0.082029,-1.659089,14.535221
LSCBO,300,25,67,55.714000,0.008492,0.090206,0.301097,2.880312
CBO,300,25,67,46.520000,0.008182,0.093541,0.372630,2.382829
PSO,300,25,67,44.766000,0.008248,0.091497,0.399495,2.744264
LSCBO,300,26,68,33.426000,0.008612,0.097916,0.510856,1.923589
CBO,300,26,68,134.158000,0.007532,0.096936,-0.598977,7.749190
PSO,300,26,68,47.250000,0.008288,0.101479,0.366026,2.639011
LSCBO,300,27,69,38.192000,0.008307,0.093959,0.530162,2.157711
CBO,300,27,69,50.382000,0.008233,0.091533,0.335964,3.225097
PSO,300,27,69,81.628000,0.007869,0.093423,0.214190,5.008266
LSCBO,300,28,70,52.952000,0.007655,0.085924,0.463946,1.970247
CBO,300,28,70,71.234000,0.007368,0.086975,0.336861,2.429560
PSO,300,28,70,52.596000,0.007697,0.090490,0.248941,3.053189
LSCBO,300,29,71,55.764000,0.009112,0.111963,0.432296,2.768598
CBO,300,29,71,64.950000,0.009191,0.111394,0.271039,2.797993
PSO,300,29,71,79.042000,0.009236,0.113423,0.266356,3.971777
LSCBO,300,30,72,60.294000,0.008390,0.094777,0.355245,2.366359
CBO,300,30,72,72.238000,0.008192,0.098747,0.295447,2.629937
PSO,300,30,72,56.590000,0.008139,0.103726,0.248073,2.650632
LSCBO,500,1,43,86.284000,0.016441,0.191324,0.354081,2.633839
CBO,500,1,43,454.042000,0.012815,0.139413,-2.156936,16.067962
PSO,500,1,43,93.682000,0.015901,0.193001,0.337041,2.838371
LSCBO,500,2,44,79.818000,0.015649,0.145125,0.331003,2.264551
CBO,500,2,44,94.058000,0.015728,0.151702,0.337447,2.439127
PSO,500,2,44,96.820000,0.015528,0.154687,0.219392,3.552721
LSCBO,500,3,45,82.760000,0.015725,0.148691,0.403861,3.219161
CBO,500,3,45,446.738000,0.016184,0.115768,-2.502645,18.167582
PSO,500,3,45,159.023333,0.015975,0.137437,-0.082495,6.543519
LSCBO,500,4,46,76.810000,0.014113,0.158843,0.359729,2.763044
