Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
PSO,500,26,68,2792.704121,0.014073,0.174087,0.436309,2.261154
LSCBO,500,27,69,2500.317960,0.013722,0.156334,0.625368,1.593264
CBO,500,27,69,2652.104764,0.013955,0.165387,0.411960,2.274460
PSO,500,27,69,2626.156919,0.013785,0.163390,0.378241,2.714470
LSCBO,500,28,70,2344.079377,0.012398,0.144589,0.274877,2.759546
CBO,500,28,70,2373.827625,0.012273,0.147203,0.324710,1.990037
PSO,500,28,70,2442.943243,0.012447,0.151663,0.262442,2.894915
LSCBO,500,29,71,2973.416370,0.014759,0.185458,0.417224,2.191831
CBO,500,29,71,2843.761744,0.012800,0.171922,-0.358375,8.319856
PSO,500,29,71,2998.211186,0.014559,0.186633,0.311890,2.560238
LSCBO,500,30,72,3198.520024,0.014127,0.199797,0.501014,1.871060
CBO,500,30,72,2715.065274,0.013418,0.167344,0.334356,2.365219
PSO,500,30,72,2881.622193,0.013765,0.177559,0.164400,4.607560
LSCBO,800,1,43,5156.853371,0.026384,0.321257,0.422981,2.343506
CBO,800,1,43,3708.967302,0.019228,0.208476,-2.784963,17.212356
PSO,800,1,43,3772.515730,0.019478,0.213250,-2.768155,18.060407
LSCBO,800,2,44,3826.782060,0.025805,0.235121,0.158112,2.855447
CBO,800,2,44,4036.823553,0.025227,0.247797,0.155894,3.522533
PSO,800,2,44,4183.166184,0.025430,0.259048,0.263443,3.597426
LSCBO,800,3,45,3798.917719,0.024993,0.236990,0.549561,1.945672
CBO,800,3,45,3387.856843,0.024657,0.193221,-2.092364,17.538184
PSO,800,3,45,3747.951411,0.024925,0.230371,0.147345,4.910316
LSCBO,800,4,46,3931.326724,0.022335,0.245924,0.637430,1.550029
CBO,800,4,46,3726.494162,0.020202,0.217764,-1.800766,14.533963
PSO,800,4,46,4019.740521,0.022583,0.250067,0.354156,2.547466
LSCBO,800,5,47,4713.921096,0.022986,0.294357,0.512311,1.751553
CBO,800,5,47,3418.699012,0.024681,0.192518,-2.592829,20.261596
PSO,800,5,47,4664.570901,0.022325,0.290295,0.338890,2.601373
LSCBO,800,6,48,4907.062819,0.024057,0.305055,0.247323,2.794294
CBO,800,6,48,5083.291305,0.023661,0.314290,0.157548,3.164478
PSO,800,6,48,4984.372364,0.023808,0.309643,0.215129,3.022081
LSCBO,800,7,49,4212.550258,0.022120,0.261557,0.300770,2.900131
CBO,800,7,49,4283.886396,0.022037,0.265290,0.223774,3.249609
PSO,800,7,49,4276.534945,0.021853,0.266002,0.302210,2.790517
LSCBO,800,8,50,4473.592718,0.023257,0.278315,0.448389,2.584012
CBO,800,8,50,3321.591331,0.025051,0.186176,-2.539638,18.280677
PSO,800,8,50,4441.769943,0.023098,0.275367,0.280320,3.440858
LSCBO,800,9,51,4308.013649,0.022492,0.267928,0.251464,2.619535
CBO,800,9,51,4205.283109,0.022030,0.258424,0.219107,2.868906
PSO,800,9,51,4391.956241,0.022240,0.271236,0.191838,4.124361
LSCBO,800,10,52,4995.491106,0.022391,0.311490,0.527177,2.054059
CBO,800,10,52,4706.777481,0.019699,0.280458,-0.830983,11.057021
PSO,800,10,52,4994.641985,0.022692,0.310960,0.403012,2.664586
LSCBO,800,11,53,5072.744814,0.023839,0.316767,0.542685,1.879514
CBO,800,11,53,4688.523549,0.020020,0.274374,-1.454181,14.648752
PSO,800,11,53,5064.932438,0.022658,0.315426,0.409558,2.454523
LSCBO,800,12,54,4499.556250,0.021242,0.279147,0.273291,3.085866
CBO,800,12,54,4417.740670,0.020324,0.270126,0.150952,3.562397
PSO,800,12,54,4603.194682,0.020828,0.286321,0.306847,2.726692
LSCBO,800,13,55,4620.105290,0.022013,0.287804,0.502244,2.291170
CBO,800,13,55,4529.965459,0.019884,0.267553,-1.108106,12.567194
PSO,800,13,55,4785.753774,0.021717,0.296740,0.305534,3.333660
LSCBO,800,14,56,4996.247698,0.020663,0.312374,0.574809,1.823430
CBO,800,14,56,3847.749297,0.019280,0.220121,-2.352263,18.010435
PSO,800,14,56,3743.916516,0.018643,0.210152,-2.655153,16.525145
LSCBO,800,15,57,3857.019335,0.025245,0.239713,0.374134,2.839396
CBO,800,15,57,3849.373402,0.025662,0.237291,0.084390,3.430728
PSO,800,15,57,3932.148344,0.025264,0.243785,0.269512,3.334030
LSCBO,800,16,58,4386.073637,0.020907,0.270242,0.203410,2.578076
CBO,800,16,58,4428.203086,0.021363,0.271863,0.238835,2.740662
PSO,800,16,58,4808.973604,0.021309,0.297212,0.151888,3.897409
LSCBO,800,17,59,4324.702820,0.024583,0.265333,0.130797,4.094887
CBO,800,17,59,3811.203070,0.019577,0.216991,-2.592345,18.890190
PSO,800,17,59,4427.255030,0.023697,0.275015,0.319373,3.040522
LSCBO,800,18,60,4472.900933,0.023321,0.279075,0.541958,1.977989
CBO,800,18,60,3288.464196,0.025263,0.184252,-2.834478,20.191195
PSO,800,18,60,4456.945709,0.022349,0.277105,0.313620,2.801026
LSCBO,800,19,61,4644.729856,0.022206,0.288083,0.279160,3.177121
CBO,800,19,61,3522.673766,0.023888,0.202011,-2.021494,17.643256
PSO,800,19,61,3142.614728,0.024858,0.175683,-2.533283,15.742872
LSCBO,800,20,62,3770.839989,0.024614,0.234927,0.530799,2.257581
CBO,800,20,62,3672.586150,0.022291,0.221684,-0.537851,8.423127
PSO,800,20,62,3764.697196,0.023578,0.232584,0.300099,3.852127
LSCBO,800,21,63,4865.451224,0.020106,0.301723,0.173637,2.918582
CBO,800,21,63,3416.308058,0.024779,0.193001,-2.649665,20.033936
PSO,800,21,63,4764.247103,0.020393,0.296233,0.337968,2.898363
LSCBO,800,22,64,4155.707943,0.023155,0.258445,0.374169,2.820569
CBO,800,22,64,4222.957574,0.024204,0.260690,0.158474,3.061271
PSO,800,22,64,4252.988021,0.023065,0.264614,0.459060,2.451868
LSCBO,800,23,65,4974.898730,0.022573,0.308918,0.278499,3.089131
CBO,800,23,65,4987.652482,0.023100,0.310645,0.340739,2.480400
PSO,800,23,65,4972.363827,0.022332,0.309829,0.403620,2.362876
LSCBO,800,24,66,4846.237213,0.024122,0.302346,0.511253,2.032405
CBO,800,24,66,3436.387168,0.024946,0.193869,-2.514140,18.973106
PSO,800,24,66,3690.227774,0.025050,0.213007,-1.924426,17.439915
LSCBO,800,25,67,4096.685982,0.021923,0.254636,0.394023,2.876519
CBO,800,25,67,4093.176246,0.021393,0.254124,0.387951,2.934441
PSO,800,25,67,4119.417177,0.021371,0.255802,0.271003,3.069702
LSCBO,800,26,68,4329.028240,0.023194,0.269560,0.526229,2.425693
CBO,800,26,68,4392.499498,0.021273,0.266885,-0.318533,7.195019
PSO,800,26,68,4543.887211,0.021749,0.281247,0.335547,3.664732
LSCBO,800,27,69,4234.090658,0.021747,0.264130,0.569213,2.093964
CBO,800,27,69,4195.783442,0.021895,0.261101,0.416985,2.575114
PSO,800,27,69,4292.092968,0.021531,0.267370,0.349457,2.450065
LSCBO,800,28,70,3722.681002,0.019385,0.230275,0.213789,2.518881
CBO,800,28,70,3737.825506,0.019292,0.230678,0.229157,2.556783
PSO,800,28,70,3894.317557,0.019884,0.242615,0.298828,2.367549
LSCBO,800,29,71,4772.595419,0.021877,0.296839,0.336226,2.696027
CBO,800,29,71,4488.605145,0.017502,0.253004,-2.599822,21.011728
PSO,800,29,71,4874.653543,0.023417,0.303561,0.324767,2.565991
LSCBO,800,30,72,4454.758977,0.021874,0.273580,0.234042,3.628424
CBO,800,30,72,4450.682595,0.021524,0.271000,0.125256,3.929949
PSO,800,30,72,4624.396687,0.021982,0.287618,0.241642,2.708454
LSCBO,1000,1,43,6210.177124,0.032821,0.387356,0.462207,2.074027
CBO,1000,1,43,4821.121118,0.024704,0.274630,-2.693987,19.595359
PSO,1000,1,43,4732.256603,0.024743,0.267845,-2.804350,20.489521
LSCBO,1000,2,44,5092.368815,0.031029,0.315867,0.210331,2.890473
CBO,1000,2,44,4820.275803,0.032341,0.295743,0.098824,3.031220
PSO,1000,2,44,5327.844892,0.030974,0.330146,0.216055,3.478348
LSCBO,1000,3,45,4862.543843,0.031151,0.303390,0.510549,2.127789
CBO,1000,3,45,4116.167076,0.031720,0.232913,-2.629186,20.160539
PSO,1000,3,45,4196.723756,0.031833,0.240446,-2.276629,18.896931
LSCBO,1000,4,46,5086.980694,0.028840,0.316768,0.402144,2.599024
CBO,1000,4,46,4773.772266,0.025676,0.285613,-0.887156,10.113760
PSO,1000,4,46,5077.744945,0.028471,0.315750,0.444334,2.781956
LSCBO,1000,5,47,6048.516589,0.028930,0.377334,0.482750,1.927348
CBO,1000,5,47,5110.046019,0.026839,0.313429,0.312891,2.241774
PSO,1000,5,47,5788.004884,0.028046,0.360578,0.407469,2.499946
LSCBO,1000,6,48,6235.462909,0.030457,0.387135,0.236344,3.029514
CBO,1000,6,48,6256.900330,0.029964,0.387493,0.264428,3.261201
PSO,1000,6,48,6466.313114,0.029424,0.402471,0.304787,2.521588
LSCBO,1000,7,49,5239.449008,0.027535,0.324676,0.250854,3.313480
CBO,1000,7,49,5286.729631,0.027380,0.328045,0.259903,3.035426
PSO,1000,7,49,5269.482344,0.027251,0.326757,0.213896,3.389824
LSCBO,1000,8,50,5529.699521,0.028167,0.345025,0.397539,2.222729
CBO,1000,8,50,4101.272409,0.031985,0.229021,-2.639757,17.887374
PSO,1000,8,50,4124.676369,0.031891,0.230324,-2.990604,21.273212
LSCBO,1000,9,51,5048.074409,0.027765,0.310745,0.190917,2.951169
CBO,1000,9,51,5242.978695,0.027073,0.320722,0.029575,3.894710
PSO,1000,9,51,5564.435632,0.027399,0.346281,0.290050,2.705355
LSCBO,1000,10,52,6362.336266,0.028941,0.397296,0.496501,1.805187
CBO,1000,10,52,5829.773035,0.022909,0.336455,-2.008627,17.477921
PSO,1000,10,52,6083.618509,0.025992,0.365966,-0.475746,9.096308
LSCBO,1000,11,53,6448.147384,0.028926,0.400430,0.225545,2.965356
CBO,1000,11,53,5732.608141,0.022789,0.325043,-2.497757,20.700461
PSO,1000,11,53,6363.039491,0.028521,0.395055,0.221032,3.113018
LSCBO,1000,12,54,5552.526516,0.026483,0.342861,0.200338,3.206292
CBO,1000,12,54,5523.701072,0.025773,0.340030,0.086459,3.577020
PSO,1000,12,54,5810.422125,0.026631,0.359787,0.192918,3.646795
LSCBO,1000,13,55,5727.393477,0.027772,0.356503,0.530364,2.498967
CBO,1000,13,55,5530.729233,0.027163,0.343499,0.361279,2.948309
PSO,1000,13,55,5750.025120,0.026888,0.357680,0.390331,2.645980
LSCBO,1000,14,56,4997.970440,0.024174,0.289459,-1.999036,14.606571
CBO,1000,14,56,5019.675257,0.023977,0.288952,-2.184243,17.906965
PSO,1000,14,56,5761.890646,0.024733,0.350014,-0.259456,7.215145
LSCBO,1000,15,57,4995.173543,0.031035,0.310536,0.304172,2.908113
CBO,1000,15,57,4515.779355,0.024067,0.256764,-2.867159,20.319464
PSO,1000,15,57,4942.938264,0.030838,0.306813,0.313903,3.082518
LSCBO,1000,16,58,5963.577788,0.026993,0.369785,0.129499,3.071977
CBO,1000,16,58,5600.567583,0.027134,0.341770,0.133232,3.151473
PSO,1000,16,58,6001.437954,0.026860,0.372809,0.204757,3.008177
LSCBO,1000,17,59,5522.647149,0.029754,0.342871,0.225151,2.946363
CBO,1000,17,59,4774.579095,0.024510,0.272585,-2.661228,19.111726
PSO,1000,17,59,5471.675054,0.029217,0.339861,0.222789,2.931573
LSCBO,1000,18,60,5687.753538,0.028648,0.355089,0.525119,1.808441
CBO,1000,18,60,4233.914030,0.030943,0.240195,-2.599467,20.092156
PSO,1000,18,60,5670.678867,0.027530,0.353245,0.324090,2.537383
LSCBO,1000,19,61,6206.136040,0.026676,0.387080,0.533598,2.042963
CBO,1000,19,61,4171.295220,0.030688,0.236130,-2.708179,20.496821
PSO,1000,19,61,4197.989192,0.030855,0.237573,-2.787195,20.517370
LSCBO,1000,20,62,4591.451891,0.029884,0.287417,0.643526,1.343122
CBO,1000,20,62,4544.075179,0.029308,0.274971,-0.455892,8.035492
PSO,1000,20,62,4725.087584,0.029160,0.292249,0.273428,3.628745
LSCBO,1000,21,63,5828.251100,0.025248,0.362550,0.276972,2.599812
CBO,1000,21,63,4308.521401,0.030228,0.246211,-2.371052,19.458198
PSO,1000,21,63,5898.518499,0.025548,0.366577,0.379497,2.961432
LSCBO,1000,22,64,5259.888995,0.029119,0.327692,0.546090,2.294917
CBO,1000,22,64,5312.700347,0.030595,0.327165,0.054289,3.300698
PSO,1000,22,64,5412.182361,0.028411,0.337765,0.494765,1.979828
LSCBO,1000,23,65,6260.797954,0.027916,0.390459,0.502854,2.100313
CBO,1000,23,65,6364.687746,0.028769,0.395461,0.225436,3.005149
PSO,1000,23,65,6293.472154,0.028418,0.390916,0.320469,3.063550
LSCBO,1000,24,66,6009.214448,0.029981,0.375653,0.546703,1.587445
CBO,1000,24,66,4444.620919,0.031453,0.255796,-2.224880,17.593426
PSO,1000,24,66,4353.788344,0.031366,0.244703,-2.631196,20.617971
LSCBO,1000,25,67,5059.749840,0.026802,0.315575,0.406866,2.296450
CBO,1000,25,67,5136.754402,0.026880,0.319822,0.354547,2.436800
PSO,1000,25,67,5236.710325,0.027356,0.325848,0.335942,2.676361
LSCBO,1000,26,68,5535.440083,0.028138,0.345363,0.559769,1.894553
CBO,1000,26,68,5487.041958,0.024025,0.323315,-1.242178,13.066364
PSO,1000,26,68,5666.426010,0.025954,0.344637,-0.107088,6.994769
LSCBO,1000,27,69,5123.546355,0.027810,0.319486,0.557479,1.997902
CBO,1000,27,69,5265.237385,0.026548,0.326467,0.407696,3.329140
PSO,1000,27,69,5378.810574,0.026286,0.334892,0.391258,2.583467
LSCBO,1000,28,70,4656.956895,0.023665,0.287926,0.223322,2.507695
CBO,1000,28,70,4698.327741,0.024008,0.290684,0.261168,2.520720
PSO,1000,28,70,4849.036594,0.024065,0.301984,0.276030,2.461086
LSCBO,1000,29,71,6092.052740,0.029533,0.380635,0.529993,1.718228
CBO,1000,29,71,5776.176810,0.023061,0.335754,-1.615822,16.060345
PSO,1000,29,71,6251.229759,0.030243,0.388843,0.305863,2.802255
LSCBO,1000,30,72,6439.797821,0.028585,0.401508,0.534423,2.066929
CBO,1000,30,72,5504.645302,0.026699,0.333305,0.025080,4.430065
