Algorithm,Function,Mean,Std
DE,Hybrid Function 1,1.7755823085e+01,2.7218106577e+01
DE,Hybrid Function 2,7.6840245868e+01,2.6766199300e+02
DE,Expanded Schaffer F6,4.3772891789e+00,9.3306792928e-01
DE,Pathological,4.8367254889e+00,1.4503051440e+00
DE,Periodic,1.3456808721e+00,3.0749433034e-01
DE,Salomon,5.2654140470e-01,3.4441525764e-01
DE,Styblinski-Tang,-1.0980845251e+03,2.6955848072e+01
DE,Weierstrass,9.4313172744e-01,6.5460301068e-01
DE,Xin-She Yang,2.8177776262e-11,1.8506870989e-12
DE,Sum Of Different Powers,5.0734179656e-07,1.3887866930e-06
SA,Sphere,6.4055255215e+03,8.2126652396e+02
SA,Zakharov,1.6245656685e+02,3.2467198907e+01
SA,Rosenbrock,2.8231729465e+06,8.7037377056e+05
SA,Rastrigin,3.0417418842e+02,1.8025019592e+01
SA,Ackley,2.0197467036e+01,1.7896349518e-01
SA,Griewank,8.8867819033e+01,1.2328619527e+01
SA,Levy,6.3407755820e+01,1.1679200674e+01
SA,Schwefel,8.3269944385e+03,4.2001657223e+02
SA,Michalewicz,-8.6577162288e+00,3.9919971588e-01
SA,Bent Cigar,5.6900878174e+09,7.5501153382e+08
SA,Discus,5.4051350238e+04,1.1935022131e+04
SA,High Conditioned Elliptic,1.0960028341e+08,2.1497259214e+07
SA,Dixon-Price,2.0149215337e+04,6.1431307560e+03
SA,HappyCat,1.3439747373e+00,1.2226034105e-01
SA,Step,5.9726333333e+03,7.8689654057e+02
SA,Bohachevsky,1.7810546909e+04,2.5456359853e+03
SA,Quartic,6.4239761899e+00,1.3133750386e+00
SA,Exponential,9.0800193493e-01,3.1904493093e-02
SA,Alpine,4.1637342987e+01,3.4285929829e+00
SA,Hybrid Function 1,3.1706997350e+03,4.5948120605e+02
SA,Hybrid Function 2,7.9849001960e+04,3.6859929213e+04
SA,Expanded Schaffer F6,1.3442975032e+01,2.3056306038e-01
SA,Pathological,1.2256130049e+01,2.0054988359e-01
SA,Periodic,7.9706866836e+00,5.5481368184e-01
SA,Salomon,1.7775898386e+01,1.6277049730e+00
SA,Styblinski-Tang,-7.8073068060e+02,2.3832352131e+01
SA,Weierstrass,3.8730211918e+01,1.9269517788e+00
SA,Xin-She Yang,2.5478467936e-07,2.1073537410e-07
SA,Sum Of Different Powers,1.9639842416e-01,8.2539053605e-02
GTO,Sphere,2.6677443159e-02,8.1883800048e-02
GTO,Zakharov,3.1703265764e-03,7.0733308618e-03
GTO,Rosenbrock,2.6362017778e+01,1.8439524083e+00
GTO,Rastrigin,8.1052077890e+01,5.7468984727e+01
GTO,Ackley,3.5973799067e+00,5.9826836952e+00
GTO,Griewank,7.3145695231e-02,1.0802849107e-01
GTO,Levy,1.4298467602e+00,4.8598569380e+00
GTO,Schwefel,3.8402480165e+03,5.9958711375e+02
GTO,Michalewicz,-1.8979691115e+01,2.0739382249e+00
GTO,Bent Cigar,7.0334646859e+04,1.4156425222e+05
GTO,Discus,6.9003906451e-02,2.4552189399e-01
GTO,High Conditioned Elliptic,1.0407132970e+01,2.7266222556e+01
GTO,Dixon-Price,6.7069381103e-01,1.4842237227e-02
GTO,HappyCat,3.9486795796e-01,7.9337472080e-02
