group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N200,30,33.86449174,115.06211820,250.78085519,0.01175829,0.98263221
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N2000,30,335.90043605,1164.53866800,2528.16097621,0.00090493,0.98344421
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N500,30,84.44739639,291.61042936,633.74761065,0.00349802,0.98261675
formalfull|E4_main|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N5000,30,835.40739649,2898.90131789,6291.51921426,0.00038027,0.98523994
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14391190,250.84416073,0.01261082,0.99992909
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E4_main|PSO|PSO|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N200,30,33.86870357,115.14204360,250.84350144,0.01261807,1.00000000
formalfull|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.00000000
formalfull|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|E4_main|WOA|WOA|W0_equal|default_4_to_1|NONE|N5000,30,835.40939254,2898.94079740,6291.55059701,0.00040303,1.00000000
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|heterogeneous_20_to_1|NONE|N1000,30,196.95008896,681.26528664,1484.30043530,0.00381890,1.00000000
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|heterogeneous_20_to_1|NONE|N2000,30,393.67837645,1364.01166015,2970.35551383,0.00211134,0.99820983
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|heterogeneous_20_to_1|NONE|N500,30,98.99303882,341.31640042,744.24651712,0.00671382,1.00000000
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|medium_5_to_1|NONE|N1000,30,176.91460989,612.55005557,1319.15387898,0.00203995,1.00000000
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|medium_5_to_1|NONE|N2000,30,353.68233088,1226.11154480,2639.49716230,0.00107077,1.00000000
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|medium_5_to_1|NONE|N500,30,88.94446874,307.03630958,661.66960895,0.00431440,1.00000000
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|near_homogeneous_1_5_to_1|NONE|N1000,30,127.24920082,440.68394004,947.79371276,0.00151398,1.00000000
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|near_homogeneous_1_5_to_1|NONE|N2000,30,254.33238643,881.86137872,1896.11549027,0.00072073,1.00000000
formalfull|vm_heterogeneity|CBO|CBO|W0_equal|near_homogeneous_1_5_to_1|NONE|N500,30,64.02921551,220.92651926,475.46775522,0.00374733,1.00000000
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|heterogeneous_20_to_1|NONE|N1000,30,196.95008896,681.26528664,1484.30043530,0.00381890,1.00000000
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|heterogeneous_20_to_1|NONE|N2000,30,393.65806815,1364.01639222,2970.34733045,0.00212303,1.00000000
formalfull|vm_heterogeneity|GREEDY_LPT|GREEDY_LPT|W0_equal|heterogeneous_20_to_1|NONE|N500,30,98.99303882,341.31640042,744.24651712,0.00671382,1.00000000
