Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio
WOA,3000,51,954.7544,1.1234
LSCBO,3000,52,1021.9739,0.2808
CBO,3000,52,1045.9153,0.4295
WOA,3000,52,1041.8964,0.2951
LSCBO,3000,53,976.6817,0.3018
CBO,3000,53,1058.4051,0.2498
WOA,3000,53,964.3500,1.7827
LSCBO,3000,54,975.8228,0.2519
CBO,3000,54,948.8926,0.2585
WOA,3000,54,1010.5279,0.2521
LSCBO,3000,55,929.2309,0.2380
CBO,3000,55,936.9584,0.4036
WOA,3000,55,950.7561,0.2858
LSCBO,3000,56,922.7317,0.8855
CBO,3000,56,1037.7573,1.4071
WOA,3000,56,959.1649,0.6862
LSCBO,3000,57,1004.6753,0.2168
CBO,3000,57,1075.2500,0.2203
WOA,3000,57,990.3646,1.9784
LSCBO,3000,58,904.3342,0.7916
CBO,3000,58,981.4601,0.2139
WOA,3000,58,914.4185,0.7786
LSCBO,3000,59,962.2125,0.3137
CBO,3000,59,1045.6063,0.2009
WOA,3000,59,955.5734,0.3453
LSCBO,3000,60,954.5082,0.2076
CBO,3000,60,953.8491,0.2686
WOA,3000,60,828.9009,0.9074
LSCBO,3000,61,1020.4478,0.2381
CBO,3000,61,1067.0036,0.2508
WOA,3000,61,1044.1687,0.2282
LSCBO,3000,62,710.2058,0.3075
CBO,3000,62,826.0120,0.2941
WOA,3000,62,768.5855,0.4167
LSCBO,3000,63,1087.6963,0.2642
CBO,3000,63,1201.2822,0.2686
WOA,3000,63,1028.1026,0.4902
LSCBO,3000,64,999.1581,0.2378
CBO,3000,64,1045.3163,0.4784
WOA,3000,64,1021.7299,0.2352
LSCBO,3000,65,1035.5788,2.2548
CBO,3000,65,1077.2295,2.4522
WOA,3000,65,1037.8402,0.2376
LSCBO,3000,66,1009.2768,0.4015
CBO,3000,66,1067.5521,0.3444
WOA,3000,66,1021.8146,0.2361
LSCBO,3000,67,973.5351,0.2262
CBO,3000,67,1059.6010,0.6322
WOA,3000,67,1013.3566,0.2222
LSCBO,3000,68,856.0634,0.3477
CBO,3000,68,898.6868,0.2715
WOA,3000,68,879.2724,0.3684
LSCBO,3000,69,783.0771,0.6477
CBO,3000,69,845.7988,0.4072
WOA,3000,69,812.5476,0.3060
LSCBO,3000,70,1032.7788,0.2661
CBO,3000,70,1042.5218,0.3501
WOA,3000,70,1045.8647,0.2772
LSCBO,3000,71,978.6104,0.2591
CBO,3000,71,940.9259,2.2352
WOA,3000,71,919.4731,0.4493
LSCBO,3000,72,1175.5302,0.3190
CBO,3000,72,1215.3372,0.3365
WOA,3000,72,1168.5520,0.3046
