Variant,TaskCount,Seed,Makespan,LoadBalanceRatio
pop50,200,72,123.0211,1.0177
LS-only,200,72,33.0423,0.4532
FULL,200,72,38.5669,0.4909
base,500,43,187.9726,0.9028
noPhase1,500,43,193.7113,1.0011
noPhase2,500,43,200.1125,0.7852
noPhase3,500,43,190.3993,0.9946
pop50,500,43,189.1154,0.8442
LS-only,500,43,40.2652,0.0426
FULL,500,43,40.6066,0.0452
base,500,44,247.9554,1.0189
noPhase1,500,44,249.2288,1.1205
noPhase2,500,44,247.9554,1.0189
noPhase3,500,44,247.9554,1.0189
pop50,500,44,259.1685,1.1723
LS-only,500,44,40.9496,0.0874
FULL,500,44,36.8942,0.0600
base,500,45,143.4347,0.7236
noPhase1,500,45,140.4446,0.7484
noPhase2,500,45,143.4347,0.7236
noPhase3,500,45,143.4347,0.7236
pop50,500,45,153.9197,0.7930
LS-only,500,45,37.9544,0.0623
FULL,500,45,36.3394,0.0509
base,500,46,268.9071,0.9491
noPhase1,500,46,218.2418,0.9625
noPhase2,500,46,268.9071,0.9491
noPhase3,500,46,268.9071,0.9491
pop50,500,46,247.0979,0.9277
LS-only,500,46,47.3145,0.0605
FULL,500,46,43.4568,0.0258
base,500,47,196.9857,0.9083
noPhase1,500,47,161.2117,0.7690
noPhase2,500,47,262.7354,0.9429
noPhase3,500,47,240.2654,1.1371
pop50,500,47,157.1440,0.8177
LS-only,500,47,41.8529,0.0547
FULL,500,47,42.6418,0.0463
base,500,48,189.7032,0.8031
noPhase1,500,48,186.0717,0.8122
noPhase2,500,48,189.7032,0.8031
noPhase3,500,48,189.7032,0.8031
pop50,500,48,165.6958,0.7176
LS-only,500,48,47.2968,0.0757
FULL,500,48,47.6112,0.0926
base,500,49,136.9888,0.7428
noPhase1,500,49,146.5229,0.8699
noPhase2,500,49,177.7829,0.7586
noPhase3,500,49,177.7829,0.7586
pop50,500,49,164.3298,0.7252
LS-only,500,49,42.6089,0.0552
FULL,500,49,46.1294,0.1066
base,500,50,224.2351,0.9301
noPhase1,500,50,274.4538,1.1250
noPhase2,500,50,224.2351,0.9301
noPhase3,500,50,224.2351,0.9301
pop50,500,50,254.9293,1.1654
LS-only,500,50,40.6749,0.0420
FULL,500,50,41.4108,0.0406
